user_uid,num_clusters,total_locations,tiempo_medio_casa,L,M,X,J,V,S,D,media_horas_rutina,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,porcentaje_andando,porcentaje_ave,porcentaje_avion,porcentaje_corriendo,porcentaje_coche,porcentaje_metro,porcentaje_impreciso,porcentaje_no_moverse,porcentaje_desconocido,service,area_km2,afternoon,morning,night,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,avg_speed_kmh,max_speed_kmh,motion_ratio
14,12,21401,11.040830026455026,14.0,21.0,15.0,17.0,14.0,10.0,19.0,15.714285714285714,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,4.0,0.019641775547287358,0.0,0.0,0.0020766634939863287,0.004326382279138185,8.652764558276369e-05,0.017824694990049322,0.9559574283983733,8.652764558276369e-05,18,409076.0404252642,21.74076236550171,46.254900325298195,32.004337309200096,14.037868045708565,6.510134289765618,18.316790391191926,17.41179414463258,20.201851697389273,10.35949620485445,13.162065226457587,1.5681040954208025,0.0,15.927099841521395,25.039619651347067,26.04053715906247,0.0,0.0,31.424639252648262,0.0,0.0,0.0,0.0,0.30880453624898957,112.2914190268821,0.026131348965994634
16,34,31990,21.857357231533207,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.013030513459417508,0.0,0.0,0.0035537763980229564,0.01160083329929333,0.00016339201829990605,0.03856051631877783,0.9329684244924635,0.00012254401372492954,18,9927404.19706443,29.551057130004498,28.629779577147996,41.819163292847506,14.91497975708502,15.685110211426,14.132253711201079,14.096266306792623,13.297345928924875,13.556455240665766,14.317588843904632,0.0,0.0,14.17004048582996,18.51731893837157,11.521367521367521,0.0,0.0,13.094017094017094,0.0,23.74988753936122,13.085020242914979,5.862348178137652,0.621399033127759,2484.729571516471,0.0283485151750337
22,1,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,18,810062.9230935693,28.929384965831435,24.829157175398635,46.24145785876993,10.022779043280181,15.034168564920272,16.173120728929387,13.211845102505695,14.578587699316628,19.58997722095672,11.389521640091116,5.0113895216400905,1.366742596810934,32.57403189066059,10.250569476082005,17.312072892938495,2.277904328018223,0.0,7.744874715261959,1.1389521640091116,15.034168564920272,7.289293849658314,0.0,0.0,0.0,0.0
31,8,986,2.5143250295508275,11.0,18.0,22.0,14.0,13.0,20.0,18.0,16.571428571428573,5.0,5.0,5.0,6.0,5.0,4.0,1.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,0.02434077079107505,0.0,0.0,0.02434077079107505,0.009127789046653144,0.002028397565922921,0.10547667342799188,0.8336713995943205,0.0010141987829614604,18,1362.5973700248896,29.953351338080044,25.25574924298224,44.79089941893772,14.804812177755956,14.714788444226205,13.356248465504542,13.135281119567885,11.694901383091906,15.32040265160815,16.973565758245357,3.2899582617235454,2.5615844177101237,0.0,0.0,0.0,34.52819379654636,21.64661592601686,0.0,37.973647598003105,0.0,0.0,0.0,1.0037272436551703,127.68118385820776,0.059837728194726165
41,7,10603,13.655586254307272,24.0,24.0,24.0,23.0,24.0,23.0,23.0,23.571428571428573,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,0.011750995435563757,0.0,0.0,0.004273089249295911,0.0028163542779450325,0.00019423132951345052,0.02214237156453336,0.9587258424783918,9.711566475672526e-05,18,11520105.073981186,29.51032040763451,31.513947663874255,38.975731928491236,14.638569824682616,16.43492529579411,9.517229467138785,10.234044390707316,15.286294153208393,15.502202262716988,18.38673460575179,16.0376543742983,4.369980136453925,0.06045427066240608,0.9413593574574661,3.9036186199153637,26.202608169962865,12.211762673806028,2.426807150876587,33.82848259780638,0.0,0.0,0.017272648760687452,0.26563491207387996,115.84187573207727,0.019034670292318152
63,14,10569,5.698534376918355,24.0,24.0,24.0,21.0,19.0,23.0,24.0,22.714285714285715,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,0.016762951037030023,0.000947059380623165,0.0005682356283738991,0.014679420399659058,0.007102945354673738,0.002841178141869495,0.03712472772042807,0.919499952647031,0.0004735296903115825,18,6790418.19965752,30.473138548539115,28.999057492931197,40.52780395852969,13.364750235626769,14.985862393967956,14.122525918944392,15.01225259189444,13.10650329877474,15.873704052780397,13.53440150801131,13.05937794533459,2.776625824693685,9.998114985862394,7.443920829406221,15.474081055607916,9.732327992459943,15.594721960414704,6.2205466540999055,16.710650329877474,2.989632422243167,0.0,0.0,2.415528982671343,3835.8481530603863,0.04290178994222938
98,9,104156,22.463025803067914,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.008320762512370648,3.843308319801685e-05,9.608270799504213e-06,0.00244050078307407,0.005371023376922855,4.8041353997521065e-05,0.005101991794536737,0.9786600305543012,9.608270799504213e-06,18,14972719.671487812,29.3544897223224,29.447449613334935,41.19806066434267,14.41359137716873,14.171575109187803,14.05777938053452,14.34146732379693,14.523380213968027,14.37432383699964,14.117882758344352,13.15382457827463,6.8742236647032895,5.305926193052049,8.0939215450575,6.85979885402893,6.950354609929079,9.197419561646031,12.453419882197378,11.99262731898866,5.501462515526706,6.947950474816684,6.6690708017790605,0.4320765982920775,408.70448609682563,0.016228369380362616
111,11,4592,7.405453433551199,18.0,14.0,18.0,15.0,21.0,14.0,20.0,17.142857142857142,6.0,5.0,5.0,6.0,6.0,7.0,7.0,4.0,7.0,5.0,3.0,2.0,3.0,4.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,0.11947194719471947,0.00044004400440044003,0.00022002200220022002,0.010341034103410342,0.008360836083608362,0.0026402640264026403,0.2565456545654565,0.6017601760176018,0.00022002200220022002,18,163013.11064717668,31.045621989232075,30.86993482572967,38.08444318503825,13.786719561726645,14.48002266931142,14.447907811466893,14.451686030036836,14.521583073580807,14.211769150845377,14.10031170303202,23.066024369509776,0.6328516104656654,0.6158496269009163,12.441673750826485,0.6574100311703032,10.64135260224804,10.548786247284406,23.05846793236989,16.616605270614908,0.40993671483895344,0.6668555775951639,0.6441862661754982,1.294264791513591,367.41638429508356,0.14147414741474149
111,11,4592,7.405453433551199,18.0,14.0,18.0,15.0,21.0,14.0,20.0,17.142857142857142,6.0,5.0,5.0,6.0,6.0,7.0,7.0,4.0,7.0,5.0,3.0,2.0,3.0,4.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0,0.11947194719471947,0.00044004400440044003,0.00022002200220022002,0.010341034103410342,0.008360836083608362,0.0026402640264026403,0.2565456545654565,0.6017601760176018,0.00022002200220022002,18,163013.11064717668,31.045621989232075,30.86993482572967,38.08444318503825,13.786719561726645,14.48002266931142,14.447907811466893,14.451686030036836,14.521583073580807,14.211769150845377,14.10031170303202,23.066024369509776,0.6328516104656654,0.6158496269009163,12.441673750826485,0.6574100311703032,10.64135260224804,10.548786247284406,23.05846793236989,16.616605270614908,0.40993671483895344,0.6668555775951639,0.6441862661754982,1.294264791513591,367.41638429508356,0.14147414741474149
120,1,14,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.7857142857142857,0.07142857142857142,18,10.10357304657528,26.89075630252101,1.680672268907563,71.42857142857143,55.46218487394958,0.0,0.0,0.0,44.537815126050425,0.0,0.0,22.689075630252102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.31092436974791,0.0,0.0,0.0,0.015228313752591111,0.19367883355336418,0.0
154,22,2958,2.978637681159421,12.0,12.0,13.0,11.0,14.0,12.0,11.0,12.142857142857142,7.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,4.0,4.0,0.03654822335025381,0.005076142131979695,0.009813874788494078,0.024365482233502538,0.06294416243654823,0.01692047377326565,0.19898477157360406,0.6423011844331641,0.003045685279187817,18,52956732.846669346,32.57996853696906,26.3581541688516,41.06187729417934,14.444153120083902,13.185631882538019,13.476664918720505,13.620870477189303,15.196643943366544,14.446775039328788,15.62926061877294,10.825904562139486,0.5768222338751966,14.383848977451494,15.359202936549554,17.509176717357107,5.566334556895647,7.753015207131621,9.504457262716308,9.601468274777137,5.933403251179864,1.1510225485055061,1.8353434714210803,15.116569678202668,1653.6112001922268,0.155668358714044
158,19,25812,12.002877192982458,7.0,6.0,7.0,8.0,8.0,19.0,17.0,10.285714285714286,7.0,7.0,7.0,7.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,6.0,0.04337991760239115,0.0,4.039098473220777e-05,0.013813716778415058,0.014419581549398174,0.0004443008320542855,0.018781807900476614,0.9090798933678003,4.039098473220777e-05,18,72179.15983483297,32.813028114917806,32.48117990474727,34.70579198033492,14.625902596404977,16.408050391765247,12.232293747119373,10.416346597019512,14.828698724842527,16.18374558303887,15.304962359809496,0.0030726686126901215,12.37670917191581,12.241511752957443,0.8634198801659242,17.299124289445384,20.01229067445076,0.11061607005684437,0.9218005838070364,0.0,10.766630818866185,14.767245352588724,10.6375787371332,0.7870656750652522,701.4377953386166,0.07209790774699087
